number_of_accidents,totalVehicles,totalCasualties,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards
41,79,61,Daylight,Fine no high winds,Wet or damp,Road sign or marking defective or obscured,None
41,70,47,Daylight,Snowing no high winds,Dry,None,None
41,53,55,Darkness - lights lit,Raining no high winds,Wet or damp,None,Any animal in carriageway (except ridden horse)
41,75,51,Darkness - lights unlit,Fog or mist,Wet or damp,None,None
40,117,61,Darkness - no lighting,Fine no high winds,Wet or damp,None,Previous accident
40,67,50,Daylight,Fine + high winds,Frost or ice,None,None
40,71,63,Daylight,Fine + high winds,Dry,Roadworks,None
40,59,50,Darkness - lights lit,Raining no high winds,Flood over 3cm. deep,None,None
39,72,50,Darkness - lights lit,Fine no high winds,Dry,Auto signal part defective,None
38,58,45,Darkness - lighting unknown,Other,Frost or ice,None,None
38,51,51,Darkness - lights lit,Fine no high winds,Wet or damp,None,Any animal in carriageway (except ridden horse)
37,75,53,Daylight,Raining + high winds,Dry,None,None
36,63,39,Daylight,Other,Dry,Roadworks,None
36,72,51,Darkness - lights unlit,Fine no high winds,Dry,Roadworks,None
35,110,65,Darkness - no lighting,Raining no high winds,Wet or damp,None,Previous accident
35,42,49,Darkness - no lighting,Fine no high winds,Dry,Road surface defective,None
34,65,41,Darkness - lighting unknown,Raining no high winds,Dry,None,None
33,44,35,Darkness - lights lit,Fine no high winds,Wet or damp,Oil or diesel,None
32,50,36,Daylight,Other,Dry,None,Other object on road
32,49,40,Darkness - lights lit,Other,Wet or damp,None,Other object on road
32,53,40,Darkness - lighting unknown,Fine + high winds,Wet or damp,None,None
32,55,39,Darkness - lights unlit,Other,Dry,None,None
32,55,44,Darkness - lights lit,Snowing + high winds,Wet or damp,None,None
31,82,45,Darkness - lights lit,Raining no high winds,Wet or damp,None,Previous accident
30,49,38,Darkness - lighting unknown,Fine no high winds,Dry,None,Other object on road
29,51,42,Darkness - no lighting,Fine no high winds,Dry,Road sign or marking defective or obscured,None
29,46,42,Daylight,Other,Wet or damp,Mud,None
29,46,47,Darkness - lights lit,Raining + high winds,Flood over 3cm. deep,None,None
29,64,42,Daylight,Raining + high winds,Wet or damp,Roadworks,None
29,65,37,Daylight,Other,Wet or damp,Roadworks,None
28,61,49,Darkness - no lighting,Fine no high winds,Dry,None,Vehicle load on road
28,49,35,Darkness - lighting unknown,Snowing no high winds,Snow,None,None
28,50,33,Darkness - lights unlit,Fine no high winds,Dry,None,Other object on road
28,48,47,Daylight,Raining + high winds,Wet or damp,Oil or diesel,None
27,48,36,Darkness - lights lit,Fine no high winds,Snow,None,None
26,36,32,Darkness - no lighting,Snowing + high winds,Frost or ice,None,None
26,32,30,Darkness - lights lit,Raining no high winds,Wet or damp,Mud,None
26,35,38,Darkness - no lighting,Raining no high winds,Wet or damp,Road surface defective,None
26,67,50,Darkness - lights lit,Fine no high winds,Wet or damp,None,Previous accident
26,46,35,Darkness - lights unlit,Fine + high winds,Dry,None,None
